AccessID,CustomerID,AccessDate,PageVisited,Duration,DeviceType,Browser,IPAddress,Referrer,LandingPage,ExitPage,Clicks,Conversions
56,9,2022-07-06 00:00:00,Home,633,Tablet,Chrome,192.168.80.161,Email,Home,Cart,4,1
57,68,2020-06-16 00:00:00,Terms,1054,Mobile,Chrome,192.168.5.103,Direct,Home,Checkout,11,1
58,65,2022-08-16 00:00:00,Blog,1218,Mobile,Edge,192.168.218.65,Twitter,Home,Home,5,1
59,76,2021-10-13 00:00:00,Checkout,2931,Desktop,Firefox,192.168.28.121,Facebook,SignUp,Product,16,0
60,11,2022-06-21 00:00:00,Home,1118,Mobile,Opera,192.168.152.198,LinkedIn,Product,Checkout,15,1
61,63,2023-03-18 00:00:00,Checkout,410,Mobile,Opera,192.168.154.8,Email,Home,SignUp,11,1
62,13,2021-09-03 00:00:00,About,1656,Desktop,Edge,192.168.199.126,Facebook,SignUp,SignUp,6,1
63,83,2022-06-28 00:00:00,Terms,1779,Tablet,Edge,192.168.240.92,LinkedIn,Landing,Home,20,0
64,84,2020-07-13 00:00:00,Product,1263,Mobile,Firefox,192.168.92.73,Email,Product,Home,7,1
65,84,2022-04-17 00:00:00,Blog,1929,Desktop,Safari,192.168.238.143,Direct,Landing,Home,4,0
66,3,2023-12-26 00:00:00,Product,470,Mobile,Safari,192.168.95.246,Direct,Promotion,SignUp,9,1
67,92,2020-01-18 00:00:00,FAQ,2586,Mobile,Opera,192.168.37.21,Email,Landing,Cart,4,0
68,83,2021-11-15 00:00:00,Product,1491,Mobile,Opera,192.168.89.137,Facebook,SignUp,SignUp,16,1
69,46,2022-01-31 00:00:00,Blog,1044,Tablet,Edge,192.168.76.242,Instagram,Home,Home,10,0
70,74,2020-09-19 00:00:00,Blog,2060,Desktop,Firefox,192.168.130.87,Instagram,Promotion,Home,2,0
71,50,2020-10-03 00:00:00,Terms,2569,Mobile,Opera,192.168.141.38,LinkedIn,SignUp,SignUp,2,0
72,88,2022-12-04 00:00:00,Product,2135,Mobile,Chrome,192.168.91.106,Direct,Promotion,Checkout,1,1
73,40,2021-07-27 00:00:00,Product,2650,Desktop,Safari,192.168.130.246,Twitter,Landing,Cart,18,1
74,57,2020-02-15 00:00:00,Terms,2109,Mobile,Opera,192.168.178.105,Instagram,Product,SignUp,6,1
75,5,2021-10-26 00:00:00,Home,279,Mobile,Opera,192.168.143.138,Instagram,Landing,Home,1,1
76,40,2021-10-17 00:00:00,Contact,688,Mobile,Firefox,192.168.41.16,Email,Home,Product,15,1
77,8,2021-01-20 00:00:00,Product,1807,Desktop,Chrome,192.168.66.169,Email,SignUp,Cart,6,0
78,88,2021-12-10 00:00:00,Blog,905,Desktop,Opera,192.168.225.223,Google,Home,Home,14,1
79,82,2020-04-11 00:00:00,Blog,1174,Mobile,Chrome,192.168.36.232,Facebook,Landing,Checkout,14,0
80,60,2023-03-12 00:00:00,About,2120,Mobile,Safari,192.168.115.70,Twitter,Promotion,Product,17,0
81,64,2020-03-09 00:00:00,Contact,1977,Mobile,Safari,192.168.140.104,LinkedIn,SignUp,Product,1,1
82,58,2023-08-19 00:00:00,Contact,238,Desktop,Opera,192.168.188.5,LinkedIn,Home,SignUp,11,1
83,43,2021-08-01 00:00:00,Terms,599,Tablet,Safari,192.168.97.132,Direct,Product,Home,6,1
84,81,2020-06-12 00:00:00,Privacy,1214,Desktop,Safari,192.168.197.85,Direct,Landing,Cart,3,1
85,57,2021-11-06 00:00:00,Home,2019,Tablet,Opera,192.168.241.223,Twitter,SignUp,SignUp,7,0
86,72,2020-01-12 00:00:00,Home,569,Mobile,Safari,192.168.179.149,Google,SignUp,Home,3,1
87,85,2021-08-13 00:00:00,Product,2443,Desktop,Edge,192.168.144.171,LinkedIn,SignUp,Checkout,19,1
88,16,2021-03-14 00:00:00,Blog,694,Mobile,Chrome,192.168.132.200,Email,Landing,Checkout,17,1
89,28,2023-02-20 00:00:00,About,335,Desktop,Edge,192.168.123.140,Instagram,Promotion,Home,4,1
90,73,2020-12-17 00:00:00,FAQ,191,Mobile,Opera,192.168.36.234,Twitter,Landing,Cart,5,0
91,54,2023-01-06 00:00:00,Terms,1139,Tablet,Edge,192.168.191.66,Facebook,Home,SignUp,12,1
92,80,2020-07-02 00:00:00,Product,1491,Desktop,Firefox,192.168.47.34,Instagram,Product,Home,11,1
93,72,2023-05-02 00:00:00,Terms,1681,Tablet,Firefox,192.168.29.109,Instagram,Product,SignUp,8,0
94,31,2022-07-29 00:00:00,About,2108,Mobile,Safari,192.168.236.125,Twitter,Product,Home,10,0
95,90,2021-06-29 00:00:00,Product,1996,Mobile,Safari,192.168.225.108,Twitter,SignUp,Cart,10,0
96,1,2023-01-31 00:00:00,Privacy,2598,Tablet,Edge,192.168.140.177,Direct,Landing,Cart,7,1
97,48,2023-10-20 00:00:00,Contact,465,Tablet,Edge,192.168.81.144,LinkedIn,Home,SignUp,10,0
98,58,2023-08-28 00:00:00,About,428,Tablet,Safari,192.168.119.3,Instagram,Landing,Checkout,6,0
99,24,2023-09-14 00:00:00,Home,1352,Tablet,Edge,192.168.96.115,LinkedIn,Home,Home,13,1
100,7,2023-09-01 00:00:00,FAQ,1833,Tablet,Edge,192.168.183.201,Twitter,Product,Cart,19,0
101,62,2023-07-29 00:00:00,FAQ,319,Mobile,Safari,192.168.140.210,Google,Landing,Cart,5,1
102,54,2022-12-13 00:00:00,Privacy,2191,Tablet,Chrome,192.168.170.210,Twitter,Landing,Checkout,1,0
103,67,2023-10-31 00:00:00,Contact,2838,Mobile,Chrome,192.168.140.37,LinkedIn,Product,Home,10,1
104,43,2020-03-27 00:00:00,FAQ,2824,Desktop,Firefox,192.168.217.36,Instagram,Home,Checkout,18,0
105,47,2022-04-07 00:00:00,About,1037,Mobile,Chrome,192.168.170.142,Direct,Home,Home,2,0
106,52,2020-03-16 00:00:00,Product,2903,Tablet,Chrome,192.168.133.132,Facebook,Home,Home,3,0
107,21,2021-10-24 00:00:00,Home,2258,Tablet,Edge,192.168.131.240,Direct,Landing,SignUp,14,1
108,83,2022-12-19 00:00:00,Contact,361,Desktop,Opera,192.168.161.57,Direct,Home,Cart,8,0
109,15,2021-04-07 00:00:00,Privacy,936,Desktop,Edge,192.168.80.55,Facebook,Landing,Checkout,2,1
110,95,2021-04-01 00:00:00,Checkout,1413,Desktop,Safari,192.168.187.39,Google,Landing,Checkout,18,1
111,20,2022-12-04 00:00:00,Terms,148,Mobile,Firefox,192.168.134.5,Facebook,Promotion,SignUp,17,1
112,26,2022-10-22 00:00:00,Home,2503,Mobile,Opera,192.168.158.171,Facebook,Landing,Checkout,17,1
113,2,2022-12-05 00:00:00,Product,1532,Mobile,Opera,192.168.73.215,Email,SignUp,Home,6,1
114,27,2023-12-09 00:00:00,Product,2971,Tablet,Safari,192.168.165.110,Twitter,Product,SignUp,19,0
115,71,2020-10-03 00:00:00,Checkout,2841,Mobile,Opera,192.168.205.99,Email,SignUp,Home,1,0
116,17,2022-03-29 00:00:00,Blog,1128,Tablet,Firefox,192.168.2.98,Email,SignUp,Home,11,0
117,80,2020-02-12 00:00:00,Contact,1771,Desktop,Opera,192.168.209.120,Direct,SignUp,Home,11,1
118,59,2023-10-07 00:00:00,Product,1381,Desktop,Chrome,192.168.0.240,Instagram,Promotion,Cart,1,0
119,55,2023-02-19 00:00:00,About,177,Tablet,Safari,192.168.234.173,Direct,Home,Product,6,1
120,43,2022-12-10 00:00:00,Privacy,1744,Desktop,Safari,192.168.114.44,Email,Landing,Home,18,1
121,79,2022-12-10 00:00:00,FAQ,505,Tablet,Chrome,192.168.64.181,Instagram,Promotion,Home,2,0
122,55,2022-01-17 00:00:00,Privacy,773,Desktop,Chrome,192.168.90.233,Twitter,SignUp,Product,15,1
123,22,2021-08-16 00:00:00,FAQ,2471,Tablet,Opera,192.168.146.11,Instagram,SignUp,Cart,18,0
124,78,2023-08-24 00:00:00,Product,1808,Mobile,Opera,192.168.10.0,Direct,Home,Cart,6,0
125,10,2020-08-06 00:00:00,Terms,322,Tablet,Opera,192.168.152.212,Email,Landing,Home,9,1
126,38,2023-09-07 00:00:00,Terms,2729,Mobile,Opera,192.168.77.142,Email,Promotion,Product,8,1
127,25,2020-01-09 00:00:00,FAQ,245,Mobile,Chrome,192.168.121.59,Google,Landing,Checkout,5,0
128,84,2020-01-29 00:00:00,Privacy,10,Mobile,Edge,192.168.10.189,Instagram,Landing,Cart,7,0
129,27,2022-12-09 00:00:00,Checkout,2287,Desktop,Chrome,192.168.119.200,Email,Home,Product,1,1
130,65,2022-12-06 00:00:00,Blog,367,Desktop,Edge,192.168.65.90,Google,Landing,Checkout,12,1
131,31,2022-06-06 00:00:00,Privacy,1606,Mobile,Edge,192.168.168.9,Google,SignUp,Product,8,1
132,47,2022-09-04 00:00:00,Product,2448,Desktop,Safari,192.168.76.188,Twitter,Landing,Checkout,4,0
133,69,2022-10-09 00:00:00,Blog,522,Mobile,Safari,192.168.122.212,Facebook,Promotion,Product,5,1
134,47,2022-06-22 00:00:00,Blog,973,Mobile,Firefox,192.168.123.74,Google,Landing,Checkout,18,1
135,91,2021-09-27 00:00:00,Privacy,881,Tablet,Chrome,192.168.161.245,Google,Product,Home,7,1
136,94,2022-11-17 00:00:00,Privacy,855,Mobile,Opera,192.168.116.215,Google,SignUp,SignUp,18,0
137,57,2021-08-10 00:00:00,Blog,1432,Desktop,Firefox,192.168.99.152,Instagram,SignUp,Product,3,0
138,2,2023-09-04 00:00:00,About,106,Tablet,Chrome,192.168.83.78,Facebook,Landing,Checkout,1,0
139,99,2022-03-24 00:00:00,About,2607,Tablet,Safari,192.168.103.53,Instagram,Product,Product,5,0
140,87,2020-11-23 00:00:00,Contact,1614,Mobile,Opera,192.168.32.7,Twitter,Home,SignUp,7,0
141,50,2020-02-23 00:00:00,Checkout,573,Tablet,Chrome,192.168.165.110,Instagram,SignUp,Checkout,11,0
142,3,2020-01-03 00:00:00,About,443,Desktop,Opera,192.168.254.167,Twitter,Landing,Home,7,1
143,72,2021-09-15 00:00:00,Product,496,Desktop,Chrome,192.168.147.91,Twitter,Promotion,SignUp,5,0
144,64,2020-03-07 00:00:00,About,1853,Desktop,Opera,192.168.92.255,Google,Home,Cart,8,0
145,94,2022-05-08 00:00:00,Blog,1365,Tablet,Safari,192.168.162.52,Google,Landing,Product,5,0
146,4,2022-12-15 00:00:00,Blog,1772,Tablet,Safari,192.168.148.34,Email,SignUp,Checkout,17,0
147,88,2022-11-08 00:00:00,Contact,906,Mobile,Opera,192.168.228.65,Direct,Promotion,Product,14,1
148,70,2021-10-11 00:00:00,Privacy,478,Desktop,Edge,192.168.12.38,Direct,Landing,Home,15,1
149,73,2023-06-30 00:00:00,About,1794,Mobile,Edge,192.168.135.149,LinkedIn,Home,SignUp,17,0
150,27,2021-06-20 00:00:00,Contact,1005,Mobile,Safari,192.168.151.104,LinkedIn,Product,Checkout,1,0
151,52,2022-02-24 00:00:00,Contact,1864,Desktop,Firefox,192.168.176.190,Facebook,Home,Home,12,0
152,3,2022-09-17 00:00:00,Blog,1732,Tablet,Firefox,192.168.137.131,LinkedIn,Home,Checkout,3,0
153,60,2021-07-11 00:00:00,Checkout,2056,Mobile,Edge,192.168.103.5,Instagram,Product,Product,8,1
154,56,2020-11-28 00:00:00,FAQ,172,Tablet,Edge,192.168.211.246,LinkedIn,SignUp,Cart,16,0
155,38,2021-03-05 00:00:00,Privacy,983,Mobile,Opera,192.168.48.2,LinkedIn,SignUp,Home,13,1
156,64,2022-01-30 00:00:00,Terms,2061,Mobile,Safari,192.168.216.118,Instagram,SignUp,Cart,7,1
157,22,2022-12-14 00:00:00,About,2162,Desktop,Safari,192.168.53.147,Facebook,Product,Cart,7,0
158,71,2021-12-02 00:00:00,Product,1943,Desktop,Opera,192.168.161.215,Twitter,Landing,Product,20,0
159,38,2022-02-22 00:00:00,Home,2664,Tablet,Chrome,192.168.66.196,Google,SignUp,Cart,7,1
160,24,2023-08-06 00:00:00,Blog,2507,Mobile,Opera,192.168.140.222,Instagram,SignUp,Product,16,0
161,56,2021-12-05 00:00:00,FAQ,2582,Desktop,Edge,192.168.97.221,Twitter,SignUp,Cart,1,1
162,63,2020-04-13 00:00:00,Home,2897,Tablet,Chrome,192.168.158.222,LinkedIn,Product,Checkout,18,0
163,37,2022-06-11 00:00:00,Terms,609,Mobile,Safari,192.168.98.54,Email,Home,Home,16,1
164,52,2020-08-30 00:00:00,Product,425,Mobile,Chrome,192.168.77.122,LinkedIn,Promotion,Cart,5,1
165,9,2021-04-12 00:00:00,Checkout,205,Desktop,Opera,192.168.50.26,LinkedIn,Promotion,Home,3,1
166,74,2020-04-07 00:00:00,FAQ,1443,Desktop,Safari,192.168.222.230,Twitter,SignUp,Cart,9,0
167,94,2020-08-22 00:00:00,Blog,2482,Mobile,Firefox,192.168.63.213,Twitter,Home,Product,14,0
168,82,2020-05-17 00:00:00,Contact,504,Mobile,Safari,192.168.231.161,Instagram,Landing,Product,17,0
169,60,2022-01-16 00:00:00,Blog,1391,Tablet,Edge,192.168.208.39,Direct,Home,Product,8,0
170,24,2021-01-04 00:00:00,Checkout,252,Tablet,Opera,192.168.161.183,Email,Home,Checkout,15,0
171,7,2022-08-08 00:00:00,FAQ,1692,Tablet,Safari,192.168.125.143,Email,SignUp,Checkout,20,1
172,3,2023-07-24 00:00:00,Home,1835,Tablet,Opera,192.168.242.194,LinkedIn,SignUp,Checkout,9,1
173,92,2021-08-26 00:00:00,Terms,1136,Tablet,Opera,192.168.138.24,Instagram,Home,Cart,15,1
174,23,2021-08-01 00:00:00,Contact,1904,Tablet,Safari,192.168.234.155,Facebook,SignUp,Checkout,7,0
175,15,2023-10-09 00:00:00,FAQ,462,Tablet,Edge,192.168.184.133,Email,Promotion,Home,2,1
176,1,2021-05-02 00:00:00,Checkout,335,Mobile,Firefox,192.168.200.52,Direct,Product,SignUp,4,0
177,37,2020-01-07 00:00:00,Privacy,2167,Desktop,Edge,192.168.210.249,Twitter,Landing,Home,5,1
178,48,2020-07-27 00:00:00,Terms,884,Desktop,Opera,192.168.111.184,Email,Landing,Product,3,0
179,37,2023-02-09 00:00:00,Privacy,2344,Desktop,Firefox,192.168.40.143,Direct,SignUp,SignUp,15,0
180,58,2022-04-18 00:00:00,About,2381,Tablet,Opera,192.168.135.125,Facebook,Home,Cart,1,0
181,95,2021-10-30 00:00:00,FAQ,1084,Mobile,Safari,192.168.153.251,Instagram,Landing,Product,6,1
182,81,2022-01-12 00:00:00,Contact,2058,Mobile,Edge,192.168.16.141,Twitter,SignUp,Home,14,1
183,97,2022-08-16 00:00:00,Blog,2049,Tablet,Firefox,192.168.76.205,Email,Landing,Home,20,0
184,74,2020-10-15 00:00:00,Privacy,692,Mobile,Safari,192.168.146.42,Google,Product,Home,4,1
185,26,2022-10-07 00:00:00,Terms,2129,Desktop,Edge,192.168.162.111,Twitter,Promotion,Checkout,9,1
186,49,2023-06-08 00:00:00,Checkout,2176,Tablet,Firefox,192.168.79.166,Twitter,Product,Home,9,0
187,44,2020-01-21 00:00:00,Home,1610,Mobile,Safari,192.168.187.110,Instagram,SignUp,Home,14,1
188,16,2022-08-11 00:00:00,Privacy,2913,Mobile,Opera,192.168.83.220,Facebook,Promotion,SignUp,5,0
189,65,2020-06-23 00:00:00,Home,2623,Desktop,Edge,192.168.7.15,Email,Promotion,Product,18,0
190,12,2020-12-22 00:00:00,Checkout,495,Tablet,Firefox,192.168.195.16,Google,SignUp,Checkout,13,1
191,10,2023-06-20 00:00:00,About,195,Desktop,Opera,192.168.102.210,Google,SignUp,SignUp,10,0
192,90,2023-10-06 00:00:00,About,2265,Tablet,Chrome,192.168.48.227,Google,Home,Product,11,1
193,23,2022-02-18 00:00:00,About,2294,Tablet,Edge,192.168.150.250,Email,Promotion,SignUp,8,0
194,63,2022-04-01 00:00:00,FAQ,1031,Tablet,Firefox,192.168.164.71,LinkedIn,Promotion,Checkout,8,0
195,100,2021-10-26 00:00:00,Product,2711,Desktop,Safari,192.168.151.230,LinkedIn,Landing,SignUp,10,0
196,47,2020-12-12 00:00:00,Product,723,Mobile,Opera,192.168.255.34,Instagram,Home,Product,10,0
197,28,2021-02-20 00:00:00,Home,544,Desktop,Opera,192.168.171.223,Twitter,Product,SignUp,9,1
198,67,2020-02-28 00:00:00,Checkout,2407,Tablet,Opera,192.168.173.197,Google,SignUp,Cart,16,0
199,84,2022-04-10 00:00:00,Privacy,1992,Mobile,Opera,192.168.28.247,LinkedIn,SignUp,Checkout,7,1
200,73,2023-10-23 00:00:00,Checkout,1883,Tablet,Safari,192.168.113.124,Facebook,Landing,SignUp,20,1
